Loan Amount (K),1 Payday (20%),Deduction,2 Paydays (30%),Total Repayment,Deduction,3 Paydays (40%),Total Repayment,Deduction,4 Paydays (50%),Total Repayment,Deduction
500,600,600,650,650,325,700,700,233.33,–,–,–
600,720,720,780,780,390,840,840,280,–,–,–
700,840,840,910,910,455,980,980,326.67,–,–,–
800,960,960,1040,1040,520,1120,1120,373.33,–,–,–
900,1080,1080,1170,1170,585,1260,1260,420,–,–,–
1000,1200,1200,1300,1300,650,1400,1400,466.67,–,–,–
1100,1320,1320,1330,1330,665,1440,1440,480,1650,1650,412.50
1200,1440,1440,1360,1360,680,1480,1480,493.33,1800,1800,450
1300,1560,1560,1390,1390,695,1520,1520,506.67,1950,1950,487.50
1400,1680,1680,1520,1520,760,1560,1560,520,2100,2100,525
1500,1800,1800,1950,1950,975,2100,2100,700,2250,2250,562.50
1600,1920,1920,2080,2080,1040,2240,2240,746.67,2400,2400,600
1700,2040,2040,2210,2210,1105,2380,2380,793.33,2550,2550,637.50
1800,2160,2160,2340,2340,1170,2520,2520,840,2700,2700,675
1900,2280,2280,2470,2470,1235,2660,2660,886.67,2850,2850,712.50
2000,2400,2400,2600,2600,1300,2800,2800,933.33,3000,3000,750
2100,2520,2520,2730,2730,1365,2940,2940,980,3150,3150,787.50
2200,2640,2640,2860,2860,1430,3080,3080,1026.67,3300,3300,825
2300,2760,2760,2990,2990,1495,3220,3220,1073.33,3450,3450,862.50
2400,2880,2880,3120,3120,1560,3360,3360,1120,3600,3600,900
2500,3000,3000,3250,3250,1625,3500,3500,1166.67,3750,3750,937.50
2600,3120,3120,3380,3380,1690,3640,3640,1213.33,3900,3900,975
2700,3240,3240,3510,3510,1755,3780,3780,1260,4050,4050,1012.50
2800,3360,3360,3640,3640,1820,3920,3920,1306.67,4200,4200,1050
2900,3480,3480,3770,3770,1885,4060,4060,1353.33,4350,4350,1087.50
3000,3600,3600,3900,3900,1950,4200,4200,1400,4500,4500,1125
